Marital status,No. of children,Education completed,Rural/urban living,Citizenship - Country,Citizenship - Another EU member,Citizenship - A non-EU country,Age,Gender,Household size,Household size - over 18,Household structure,Education - 3 groups,Employment - 7 groups,Income quartiles,DV: Rural/urban living,Country group,Direct contact with children,Direct contact with parents,Direct contact with other relatives,Direct contact with neighbours,Phone/internet contact with children,Phone/internet contact with parents,Phone/internet contact with other relatives,Phone/internet contact with neighbours,A person to get support from to help around house ,A person to get advice from about a personal/family matter,A person to get support from when looking for a job,A person to get support from when feeling depressed,A person to get support from to raise emergency money,Health condition,Chronic health problems?,No. of rooms in accommodation,Tenure,Problems with accommodation - space,Problems with accommodation - rot in windows etc.,Problems with accommodation - damp or leaks,Problems with accommodation - no toilet,Problems with accommodation - no bath/shower,Problems with accommodation - no outside space,Likelihood of leaving accom within 6 months,Neighbourhood problems - noise,Neighbourhood problems - air quality,Neighbourhood problems - quality of drinking water,"Neighbourhood problems - crime, violence or vandalism",Neighbourhood problems - litter or rubbish,Neighbourhood problems - traffic,No. of problems with accommodation,Difficult to see a doctor because of distance?,Difficult to see a doctor because of delay in getting appointment?,Difficult to see a doctor because of waiting time?,Difficult to see a doctor because of cost?,Difficult to see a doctor because of lack of time?,Access to postal services?,Access to banking services?,Access to public transport?,"Access to cinema, theatre and cultural centre?",Access to recreational or green areas?,Quality of health services?,Quality of education system?,Quality of public transport?,Quality of child care services?,Quality of long term care services?,Quality of social/municipal housing?,Quality of state pension system?,I or someone else in household used child care in 12 months,Someone close outside household used child care in 12 months,Nobody used child care in 12 months,Child care used in 12 months - don't know,Child care used in 12 months - refusal,I or someone else in household used long term care in 12 months,Someone close outside household used long term care in 12 months,Nobody used long term care in 12 months,Long term care used in 12 months - don't know,Long term care used in 12 months - refusal,Can most people be trusted?,How much tension between Poor and Rich?,How much tension between Management and Workers?,How much tension between Men and Women?,How much tension between Old and Young people?,How much tension between different racial/ethnic groups?,How much tension between different religious groups?,How much tension between groups with different sexual orientation?,How much trust the parliament?,How much trust the legal system?,How much trust the press?,How much trust the police?,How much trust the government?,How much trust the local authorities?,How frequently attend religious services?,How frequently use the Internet other than for work?,How frequently take part in sports or exercise?,How frequently participate in social activities?,Feel left out of sociey?,Can't find the way because life has become so complicated?,The value of what I do is not recognised by others?,People look down on me because of my job situation or income?,Feel close to people in the area where I live,Volunteering frequency,Personal financial situation,Household able to make ends meet?,Can afford to keep home adequately warm?,Can afford to pay for a week's annual holiday away?,Can afford to replace any worn-out furniture?,Can afford a meal with meat/chicken/fish every second day?,"Can afford to buy new, rather than second-hand, clothes?",Can afford to have friends or family for a drink/meal at least once a month?,Rent/mortgage payments for accommodation,"Utility bills, such as electricity, water, gas",Payments for consumer loans/credit cards,Payments for informal loans from friends/relatives,Financial situation of your household compared to 12 months ago?,Household financial expectations for th 12 months?,Deprivation index: No. of items hhold can't afford,I am optimistic about the future,I generally feel that what I do in life is worthwhile,I feel I am free to decide how to live my life,I seldom have time to do the things I really enjoy,How satisfied with education?,How satisfied with present standard of living?,How satisfied with accommodation?,How satisfied with family life?,How satisfied with health?,How satisfied with social life?,How satisfied with economic situation in the country?,How happy are you?,How many hours per week would you prefer to work at present?,How often care for your children?,How often cook and doing housework?,How often care for elderly or disabled relatives?,The share of housework you do is?,As much time as would like with family members?,As much time as would like with others (not family)?,As much time as would like on own hobbies/interests?,As much time as would like on voluntary work?,Country_Belgium,Country_Bulgaria,Country_Croatia,Country_Cyprus,Country_Czech Republic,Country_Denmark,Country_Estonia,Country_Finland,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Iceland,Country_Ireland,Country_Italy,Country_Kosovo,Country_Latvia,Country_Lithuania,Country_Luxembourg,Country_Macedonia (FYROM),Country_Malta,Country_Montenegro,Country_Netherlands,Country_Poland,Country_Portugal,Country_Romania,Country_Serbia,Country_Slovakia,Country_Slovenia,Country_Spain,Country_Sweden,Country_Turkey,Country_UK
1,2,2,4,2,1,1,1,2,4,2,4,1,5,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,4,1,2,2,1,2,2,2,4,3,3,1,3,3,3,1,2,2,3,3,2,3,3,3,3,3,6,6,6,5,5,5,5,1,1,2,1,1,1,1,2,1,1,5,2,2,2,2,2,2,2,3,4,2,6,5,5,5,5,4,5,4,4,3,4,2,1,2,5,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,4,3,5,6,6,8,8,5,5,8,20,1,1,5,1,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,4,3,4,2,1,1,4,1,4,4,5,2,4,3,2,1,1,6,4,1,5,6,5,5,3,3,3,2,3,2,1,3,1,1,2,1,2,2,2,4,1,1,1,3,2,1,2,2,1,1,1,1,3,3,3,3,3,10,2,8,8,8,8,1,1,1,2,1,1,1,1,2,1,1,10,1,1,1,1,3,3,3,10,10,4,5,10,10,4,5,1,5,5,5,5,5,1,2,3,3,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,2,10,5,10,10,10,10,4,9,40,1,1,1,2,2,2,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3,1,4,2,1,1,4,2,4,4,4,1,5,1,2,1,3,6,2,1,5,6,5,5,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,1,1,2,1,1,1,1,2,1,1,5,3,3,3,3,3,3,3,6,6,5,6,6,6,4,5,1,5,2,2,2,2,2,1,4,3,1,1,1,1,1,1,2,2,2,2,2,1,0,2,2,2,2,5,7,7,7,7,7,7,7,15,4,1,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,2,4,2,1,1,2,1,4,2,4,1,1,1,2,1,1,1,1,1,2,3,5,2,1,1,1,1,1,2,2,2,3,1,2,2,2,2,2,4,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,1,1,2,1,1,1,1,2,1,1,7,2,2,2,2,2,2,2,8,10,1,1,8,1,4,4,4,5,4,2,2,4,2,1,3,4,2,1,1,1,1,1,2,1,2,2,3,3,1,2,2,2,2,6,5,5,8,8,8,8,8,60,2,5,5,3,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,6,2,2,1,1,2,2,4,2,4,3,5,2,1,1,1,2,2,3,2,3,3,3,1,1,1,1,1,2,2,4,3,1,2,1,2,2,2,4,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,5,5,4,4,5,5,5,5,5,1,1,2,1,1,1,1,2,1,1,5,2,2,2,2,2,2,2,6,6,6,6,6,6,5,3,5,5,5,2,2,2,2,1,3,4,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,7,6,6,6,6,6,5,8,30,1,1,3,1,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3,2,2,2,1,1,2,2,4,2,4,1,5,1,1,1,1,3,3,2,1,3,3,1,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,4,1,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,6,6,1,1,2,1,1,1,1,2,1,1,6,3,3,3,3,2,2,3,8,8,4,9,9,9,1,5,5,5,4,2,2,2,2,1,3,4,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,6,6,6,6,5,4,7,10,1,1,4,1,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,6,4,2,1,1,2,2,2,2,2,3,1,4,2,1,6,2,2,2,6,2,2,2,1,1,1,1,1,2,2,4,1,2,2,2,2,2,2,4,3,3,2,2,3,3,0,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,6,2,2,2,2,2,2,2,7,7,4,8,8,8,4,2,2,5,4,2,4,4,2,2,4,2,1,1,1,1,1,1,2,1,1,2,1,1,0,2,2,2,2,10,10,10,10,10,10,7,10,40,5,1,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,1,3,3,2,1,1,2,2,4,4,5,2,5,3,2,1,6,1,3,3,6,3,3,3,2,2,1,1,2,2,2,5,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,8,3,4,3,3,3,1,1,2,1,1,1,1,2,1,1,7,1,1,1,2,2,1,1,10,3,3,3,3,3,3,5,5,5,4,3,4,4,4,2,3,4,1,1,1,1,1,1,2,2,2,2,2,2,0,3,3,4,3,8,9,10,10,10,10,3,8,20,1,1,5,1,2,2,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,6,4,2,1,1,2,1,2,2,2,3,1,3,2,1,6,2,2,2,6,3,2,2,4,1,2,2,2,1,2,3,1,1,1,1,2,2,2,4,3,3,2,3,1,3,3,2,2,2,2,2,3,3,5,3,5,5,3,6,5,6,2,1,1,1,2,1,1,1,1,2,1,1,4,1,1,1,1,1,2,2,1,1,1,1,1,1,5,1,3,2,4,4,2,4,2,3,2,5,2,2,2,2,2,2,2,1,2,1,2,2,6,4,2,4,2,4,4,5,5,7,6,2,4,20,5,5,5,3,1,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,0,6,4,2,1,1,2,1,3,3,5,3,1,4,2,1,6,6,4,1,6,6,1,2,1,1,2,1,2,2,2,4,1,2,2,2,2,2,2,4,2,1,1,3,2,3,0,3,1,2,3,2,3,3,2,2,3,4,3,5,3,5,3,2,1,1,2,1,1,1,1,2,1,1,5,1,2,2,1,1,1,2,5,4,3,3,4,8,5,1,3,3,5,5,4,5,2,3,4,3,1,1,1,1,1,1,2,2,2,2,1,1,0,2,2,4,2,5,8,8,8,9,2,1,5,38,5,2,5,2,1,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3,2,2,2,1,1,4,1,4,3,5,1,4,2,1,1,2,5,2,1,1,5,1,1,1,1,1,1,1,3,1,3,1,1,1,2,2,2,2,4,3,3,3,3,3,3,2,3,3,3,3,3,3,1,1,1,1,7,8,7,8,2,10,1,1,1,2,1,1,1,1,2,1,1,3,3,1,1,1,3,3,3,5,5,5,5,5,3,1,5,5,5,5,5,5,5,2,1,2,5,2,2,2,2,2,2,1,2,2,2,2,2,6,3,2,2,2,1,5,10,10,1,10,5,8,30,1,1,5,3,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,4,2,2,2,1,1,3,2,4,4,5,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,2,2,2,2,2,10,10,5,10,10,10,1,1,1,2,1,1,1,1,2,1,1,5,1,1,1,3,1,1,1,10,10,5,10,10,10,1,5,5,5,2,5,5,5,5,1,5,4,1,1,1,1,1,1,2,2,1,2,1,1,0,2,2,2,2,1,10,10,10,10,10,10,10,49,1,1,1,1,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,2,2,2,1,1,2,1,4,2,4,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,4,2,1,1,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,4,1,4,1,4,5,10,10,10,10,10,1,1,1,2,1,1,1,1,2,1,1,4,1,2,2,3,3,3,3,10,1,1,10,10,1,1,1,4,2,5,5,5,5,1,3,3,5,1,2,2,2,1,1,2,2,1,1,3,2,3,2,1,1,1,1,7,10,10,10,10,9,10,56,1,2,2,3,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,2,2,2,1,1,4,1,2,2,2,1,4,4,1,1,2,5,3,1,1,5,1,1,1,2,4,1,2,2,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,9,9,9,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,3,3,3,2,2,3,3,10,10,5,10,10,5,2,5,5,5,2,2,2,5,3,2,4,2,1,1,1,1,1,1,2,2,2,2,2,1,0,1,2,2,2,1,10,10,10,10,10,10,10,0,1,5,5,2,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,2,2,2,1,1,5,1,3,2,5,1,4,4,1,1,1,5,2,1,2,5,2,2,1,1,4,1,1,1,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,2,1,1,3,10,10,1,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,3,2,1,3,3,3,3,10,10,5,10,10,10,2,5,5,5,5,5,5,5,2,1,3,3,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,10,10,10,10,10,10,10,48,2,1,1,2,2,2,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,2,2,2,1,1,5,1,2,2,2,1,4,3,1,1,2,5,1,1,1,5,1,1,1,1,1,1,1,3,1,4,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,2,2,2,2,2,3,3,3,2,2,10,5,5,5,10,10,10,1,1,2,1,1,1,1,2,1,1,10,2,2,2,2,2,2,2,1,5,5,10,10,10,1,5,5,5,5,5,5,5,5,1,5,6,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,1,10,10,10,10,10,10,10,68,2,1,1,1,1,1,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,4,2,2,2,1,1,5,1,4,4,5,1,4,2,1,1,3,5,3,1,1,5,1,1,1,1,1,1,1,3,1,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,10,3,3,3,3,3,3,3,5,10,10,10,10,10,1,5,5,5,3,3,2,5,3,1,5,3,1,1,1,1,1,1,2,2,2,2,1,1,0,3,3,1,3,1,10,10,10,10,10,10,10,56,5,5,5,2,2,3,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,0,4,4,2,1,1,1,1,4,3,5,2,6,2,2,1,6,1,2,1,6,5,2,2,4,1,3,2,2,2,2,3,1,2,1,2,2,2,2,4,3,1,1,3,2,2,1,3,3,3,3,3,3,2,2,3,3,7,5,7,3,6,5,7,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,10,1,1,1,10,2,4,2,1,1,5,2,4,5,1,2,4,3,1,1,1,1,1,1,2,2,2,2,2,2,0,1,1,2,4,5,4,9,10,10,9,4,7,47,5,2,2,2,2,1,3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3,3,4,2,1,1,3,2,4,4,4,2,5,3,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,3,1,4,3,2,2,2,2,2,2,4,2,2,2,3,3,1,0,3,2,2,1,3,3,3,3,2,3,5,1,5,5,5,5,5,1,1,2,1,1,1,1,2,1,1,5,1,2,2,1,1,2,2,5,5,1,10,10,3,4,3,2,4,4,2,2,5,2,1,3,4,1,2,2,1,2,1,1,2,2,1,2,1,3,1,4,1,1,10,1,9,10,5,5,1,5,30,1,1,5,1,1,3,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,4,2,4,2,1,1,4,2,3,3,4,1,5,1,2,1,2,3,2,4,2,2,2,2,1,1,1,1,1,3,2,4,1,2,2,2,2,2,2,4,3,2,3,3,3,2,0,2,3,3,3,2,3,2,2,2,2,5,3,6,5,5,6,5,1,1,2,1,1,1,1,2,1,1,5,2,2,2,2,2,2,2,5,5,5,3,6,7,3,5,5,5,3,2,1,4,3,1,3,4,1,2,2,1,1,1,2,2,2,2,2,2,2,3,4,2,1,2,5,9,9,9,6,3,7,21,1,1,3,1,2,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3,2,4,2,1,1,2,1,4,2,4,1,2,2,2,1,1,2,2,1,5,1,1,1,1,1,2,1,2,1,2,2,3,1,1,2,2,1,2,3,3,3,3,3,1,1,3,3,3,3,1,3,3,2,2,5,4,7,7,7,7,8,7,7,1,2,1,1,1,1,1,2,1,1,5,2,2,2,2,2,2,2,1,2,2,1,5,1,3,2,3,5,1,2,1,2,2,3,1,6,2,2,2,2,2,2,2,2,1,2,1,1,6,1,2,2,2,1,5,3,4,5,6,1,4,48,1,1,3,2,2,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,0,3,4,2,1,1,4,1,2,2,5,2,2,4,2,1,6,6,3,2,6,6,2,2,1,1,1,1,1,4,1,3,3,2,2,2,2,2,2,4,2,2,3,3,3,3,0,2,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,5,7,8,5,3,4,2,3,2,4,4,2,2,2,2,3,3,4,1,2,2,2,2,1,2,2,2,2,2,2,4,4,2,2,3,3,1,8,8,2,2,2,4,50,5,2,1,1,2,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,6,4,2,1,1,3,2,3,2,4,3,1,4,2,1,1,1,1,2,5,5,1,2,1,1,1,1,1,2,2,3,1,1,1,2,2,2,1,4,2,2,2,3,3,2,3,2,2,1,2,2,3,2,2,3,3,8,7,6,4,4,3,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,2,6,6,7,2,2,4,1,4,5,3,1,2,4,4,2,3,4,1,2,2,1,1,1,2,2,2,1,2,2,2,3,1,2,1,9,8,7,9,8,8,2,8,8,1,1,2,1,1,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,4,4,2,1,1,3,2,4,3,4,2,5,4,2,1,1,1,2,2,5,1,1,1,1,2,2,2,1,2,2,3,3,2,2,2,2,2,2,2,3,2,2,3,3,3,0,3,2,2,2,2,3,3,3,3,3,6,3,4,4,4,2,4,1,1,2,1,1,1,1,2,1,1,4,1,2,1,1,2,1,2,4,5,5,5,6,6,1,1,1,5,4,4,1,2,3,1,2,5,2,2,2,2,2,1,2,2,2,2,2,2,5,5,4,3,3,6,6,6,6,6,6,3,6,56,1,1,2,1,2,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,0,6,2,2,1,1,1,2,3,3,5,3,1,2,1,1,6,1,3,1,6,2,2,3,1,1,3,1,1,1,2,4,1,2,2,2,2,2,2,4,3,3,1,2,3,3,0,3,3,3,3,3,2,2,1,1,1,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,5,6,8,9,3,3,1,1,1,5,5,1,1,5,1,1,3,5,2,2,2,1,1,1,2,2,2,2,2,2,3,1,1,1,1,10,10,10,10,10,10,1,10,48,5,2,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,2,3,2,1,1,4,2,2,2,2,1,4,4,2,1,1,6,3,1,2,6,3,3,1,1,1,1,1,1,2,4,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,2,3,3,3,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,3,3,3,3,3,3,3,10,10,5,10,10,10,5,5,5,5,4,4,4,4,1,1,3,2,1,1,1,1,1,1,2,2,2,2,2,2,0,1,1,1,4,10,10,10,10,10,6,10,10,48,5,1,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,2,3,2,1,1,4,2,4,4,5,1,5,2,2,1,1,2,2,1,2,3,3,3,1,1,1,1,1,3,2,2,3,1,2,2,1,2,2,4,1,3,1,3,1,1,2,3,3,3,3,3,3,1,3,1,3,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,5,10,5,10,10,10,5,5,5,5,5,2,5,5,1,1,3,4,1,2,2,2,2,1,2,1,2,2,2,2,4,1,1,1,1,5,5,10,10,5,1,1,6,48,5,1,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,3,3,2,1,1,2,2,4,4,5,2,5,2,2,1,1,2,3,1,5,3,3,3,1,1,1,1,1,2,2,6,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,3,1,3,2,2,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,1,3,4,1,2,2,2,2,1,2,1,1,1,3,2,4,1,1,1,2,10,10,10,10,10,10,5,10,48,1,1,5,2,2,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,4,2,2,1,1,2,1,4,4,5,2,1,2,1,1,1,6,2,1,5,6,4,4,1,1,1,1,1,2,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,5,3,3,5,5,7,7,6,7,7,6,6,1,1,2,1,1,1,1,2,1,1,2,3,2,3,3,2,2,2,5,10,3,7,5,5,4,4,5,5,4,4,4,4,1,1,4,3,1,2,2,1,1,2,2,2,1,2,3,3,3,2,2,2,4,10,10,10,10,10,10,2,10,35,1,5,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,4,2,2,1,1,2,1,4,4,5,2,1,2,1,1,1,2,2,1,5,5,4,1,1,1,1,2,2,2,2,3,1,2,2,1,2,2,1,4,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,2,2,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,5,2,2,2,2,2,2,2,1,1,1,1,1,1,4,3,5,5,2,1,3,5,1,1,3,4,1,1,1,1,1,1,2,2,2,2,3,1,0,3,1,2,3,8,8,8,8,8,8,1,10,45,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,2,2,2,1,1,4,1,4,4,5,1,7,1,1,1,4,6,4,1,2,6,2,4,1,1,1,1,1,2,1,5,1,2,2,2,1,1,2,4,3,3,3,3,3,3,2,3,3,3,3,3,5,5,3,5,5,8,7,7,7,7,7,7,1,1,2,1,1,1,1,2,1,1,5,3,2,2,1,2,2,2,6,9,1,10,10,1,4,5,5,5,5,5,5,5,1,1,2,5,2,2,2,2,2,2,2,2,2,2,3,3,6,3,3,3,3,8,8,2,10,10,10,2,8,50,1,5,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,0,4,2,2,1,1,2,1,3,3,5,2,1,4,1,1,6,2,4,1,6,5,3,1,1,2,2,2,1,2,2,3,1,2,2,2,2,2,2,4,3,3,3,3,3,3,0,3,3,3,3,3,4,4,4,4,4,8,8,9,9,8,8,8,1,1,2,1,1,1,1,2,1,1,5,3,3,3,3,3,3,3,5,8,8,10,8,8,4,1,5,5,5,5,5,5,1,1,3,4,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,1,2,5,6,7,10,10,8,6,8,45,5,5,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,2,2,2,1,1,3,2,4,3,4,1,5,1,1,1,1,2,3,1,5,5,5,5,1,1,1,1,1,1,2,4,1,1,2,2,2,2,2,4,3,3,1,3,1,2,1,2,2,2,2,2,3,3,3,3,3,10,10,10,10,10,10,10,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,10,10,10,10,10,10,3,5,5,5,4,4,1,5,1,2,4,4,2,2,2,2,2,2,2,2,2,2,1,1,6,2,2,4,4,1,10,10,10,10,10,10,10,30,1,1,1,2,3,3,3,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2,3,2,2,1,1,3,1,2,2,2,2,1,3,1,1,2,1,3,2,5,4,6,5,1,1,1,2,1,2,2,3,5,2,2,2,2,2,1,4,3,3,3,3,1,3,1,3,2,3,3,3,4,2,5,5,2,9,9,8,8,8,8,8,1,1,2,1,1,1,1,2,1,1,7,2,1,2,2,2,2,2,8,8,2,8,9,8,5,1,5,5,5,5,4,4,2,2,4,4,1,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,5,8,8,9,7,8,7,7,2,48,3,2,3,3,1,1,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,3,2,2,2,1,1,3,1,3,2,4,1,1,2,1,1,2,6,4,1,2,6,2,4,1,1,1,1,4,1,1,3,1,1,2,2,2,2,2,4,3,3,3,3,3,3,1,3,3,3,3,3,4,3,3,5,5,7,7,8,8,7,8,8,1,1,2,1,1,1,1,2,1,1,5,2,2,2,3,3,3,3,5,1,1,10,7,1,2,4,5,4,5,5,5,5,5,1,3,3,1,1,1,1,1,1,2,2,2,2,2,2,0,2,2,2,3,5,5,10,10,10,10,8,10,48,1,5,5,2,2,2,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
